,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Team,Playing Time
,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Team,MP
25,Kim Minsu,kr KOR,"MF,FW",18-322,,0,22.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Girona,3.0
26,Ferrán Ruiz,es ESP,MF,21-224,,0,18.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Girona,1.0
27,Juan Carlos,es ESP,GK,36-321,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,Matches,Girona,0.0
28,Aleksandar Andreev,bg BUL,GK,18-256,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Girona,0.0
29,Ricard Artero,es ESP,MF,21-305,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Girona,0.0
30,Dawda Camara,mr MTN,FW,22-032,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Girona,0.0
31,Enric García,es ESP,MF,18-282,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Girona,0.0
32,Jastin García,es ESP,FW,20-326,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Girona,0.0
33,Lucas García,es ESP,GK,20-340,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Girona,0.0
34,Pau López,es ESP,GK,29-359,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Girona,0.0
35,Raúl Martínez,es ESP,MF,22-287,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Girona,0.0
36,Joel Roca,es ESP,FW,19-182,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Girona,0.0
37,Toni Villa,es ESP,"FW,MF",29-334,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Girona,0.0
38,Squad Total,,,27.6,,165,1350.0,15.0,21.0,15.0,36.0,18.0,3.0,3.0,35.0,1.0,20.0,17.8,14.8,32.6,278.0,704.0,701.0,1.4,1.0,2.4,1.2,2.2,1.34,0.99,2.32,1.19,2.17,,Girona,15.0
39,Opponent Total,,,27.3,,165,1350.0,15.0,20.0,17.0,37.0,20.0,0.0,2.0,36.0,2.0,16.0,14.5,11.6,26.1,223.0,443.0,438.0,1.33,1.13,2.47,1.33,2.47,1.07,0.78,1.85,0.96,1.74,,Girona,15.0
0,Álex Remiro,es ESP,GK,29-257,,15,1350.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Real-Sociedad,15.0
1,Martín Zubimendi,es ESP,MF,25-308,,14,1305.0,14.5,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.4,1.4,0.6,2.1,24.0,103.0,24.0,0.07,0.07,0.14,0.07,0.14,0.1,0.04,0.14,0.1,0.14,Matches,Real-Sociedad,15.0
2,Igor Zubeldia,es ESP,DF,27-251,,13,1115.0,12.4,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.1,0.1,0.3,0.4,9.0,54.0,2.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.03,0.01,0.03,Matches,Real-Sociedad,13.0
3,Sergio Gómez,es ESP,"MF,DF",24-093,,12,1113.0,12.4,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,4.6,4.8,22.0,48.0,63.0,0.0,0.24,0.24,0.0,0.24,0.02,0.37,0.39,0.02,0.39,Matches,Real-Sociedad,15.0
4,Mikel Oyarzabal,es ESP,"FW,MF",27-229,,12,863.0,9.6,3.0,1.0,4.0,1.0,2.0,2.0,2.0,1.0,4.0,2.4,0.7,3.1,9.0,10.0,54.0,0.31,0.1,0.42,0.1,0.21,0.42,0.07,0.49,0.25,0.33,Matches,Real-Sociedad,13.0
5,Takefusa Kubo,jp JPN,"MF,FW",23-185,,11,1018.0,11.3,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,1.8,1.8,2.0,3.8,64.0,53.0,99.0,0.27,0.0,0.27,0.27,0.27,0.16,0.18,0.34,0.16,0.34,Matches,Real-Sociedad,15.0
6,Jon Aramburu,ve VEN,DF,22-136,,11,927.0,10.3,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,0.8,1.0,14.0,39.0,23.0,0.0,0.0,0.0,0.0,0.0,0.02,0.08,0.09,0.02,0.09,Matches,Real-Sociedad,13.0
7,Nayef Aguerd,ma MAR,DF,28-251,,11,919.0,10.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.9,1.9,0.1,2.0,10.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.01,0.19,0.18,0.19,Matches,Real-Sociedad,11.0
8,Luka Sučić,hr CRO,MF,22-089,,10,795.0,8.8,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.1,1.1,1.0,2.1,12.0,36.0,24.0,0.11,0.11,0.23,0.11,0.23,0.12,0.12,0.24,0.12,0.24,Matches,Real-Sociedad,11.0
9,Brais Méndez,es ESP,MF,27-334,,9,771.0,8.6,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,1.6,1.6,1.6,3.2,17.0,45.0,43.0,0.12,0.12,0.23,0.12,0.23,0.19,0.18,0.37,0.19,0.37,Matches,Real-Sociedad,12.0
10,Javi López,es ESP,DF,22-256,,8,716.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3,0.4,16.0,25.0,19.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.05,0.01,0.05,Matches,Real-Sociedad,11.0
11,Sheraldo Becker,sr SUR,"MF,FW",29-301,,7,630.0,7.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.4,1.4,0.9,2.2,27.0,14.0,61.0,0.14,0.0,0.14,0.14,0.14,0.2,0.12,0.32,0.2,0.32,Matches,Real-Sociedad,13.0
12,Ander Barrenetxea,es ESP,"MF,FW",22-345,,6,550.0,6.1,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.9,1.9,24.0,23.0,71.0,0.0,0.16,0.16,0.0,0.16,0.16,0.15,0.31,0.16,0.31,Matches,Real-Sociedad,11.0
13,Beñat Turrientes,es ESP,MF,22-310,,6,516.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,0.0,0.4,10.0,26.0,25.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.08,Matches,Real-Sociedad,11.0
14,Jon Pacheco,es ESP,DF,23-333,,4,386.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.0,0.1,6.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches,Real-Sociedad,7.0
15,Hamari Traoré,ml MLI,DF,32-314,,4,311.0,3.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,4.0,11.0,7.0,0.0,0.29,0.29,0.0,0.29,0.0,0.05,0.05,0.0,0.05,Matches,Real-Sociedad,4.0
16,Orri Steinn Óskarsson,is ISL,FW,20-099,,3,323.0,3.6,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.7,2.7,0.0,2.7,2.0,3.0,18.0,0.56,0.0,0.56,0.56,0.56,0.76,0.0,0.76,0.76,0.76,Matches,Real-Sociedad,9.0
17,Aihen Muñoz,es ESP,DF,27-112,,3,318.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,9.0,17.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches,Real-Sociedad,7.0
18,Aritz Elustondo,es ESP,DF,30-253,,3,282.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,4.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.07,0.04,0.11,0.07,0.11,Matches,Real-Sociedad,6.0
19,Umar Sadiq,ng NGA,FW,27-308,,2,227.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.2,0.4,5.0,5.0,18.0,0.0,0.0,0.0,0.0,0.0,0.09,0.06,0.15,0.09,0.15,Matches,Real-Sociedad,7.0
20,Urko González,es ESP,MF,23-261,,1,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Real-Sociedad,1.0
21,Jon Martin,es ESP,DF,18-340,,0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.08,Matches,Real-Sociedad,2.0
22,Olasagasti,es ESP,MF,24-112,,0,87.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,4.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches,Real-Sociedad,5.0
23,Pablo Marín,es ESP,MF,21-156,,0,81.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches,Real-Sociedad,4.0
24,Álvaro Odriozola,es ESP,DF,28-358,,0,43.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Real-Sociedad,2.0
25,Jon Magunacelaya,es ESP,MF,24-146,,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Real-Sociedad,2.0
26,Egoitz Arana,es ESP,GK,22-291,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Real-Sociedad,0.0
27,Aitor Fraga,es ESP,GK,21-269,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Real-Sociedad,0.0
28,Unai Marrero,es ESP,GK,23-058,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Real-Sociedad,0.0
29,Squad Total,,,25.9,,165,1350.0,15.0,12.0,9.0,21.0,10.0,2.0,2.0,33.0,1.0,18.3,16.7,14.4,31.2,293.0,580.0,571.0,0.8,0.6,1.4,0.67,1.27,1.22,0.96,2.18,1.12,2.08,,Real-Sociedad,15.0
30,Opponent Total,,,27.2,,165,1350.0,15.0,11.0,6.0,17.0,7.0,4.0,4.0,33.0,0.0,15.4,12.3,8.8,21.1,215.0,423.0,419.0,0.73,0.4,1.13,0.47,0.87,1.03,0.58,1.61,0.82,1.4,,Real-Sociedad,15.0
0,Rui Silva,pt POR,GK,30-303,15.0,15,1350.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches,Real-Betis,
1,Diego Llorente,es ESP,DF,31-112,14.0,14,1224.0,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.2,0.7,1.0,38.0,2.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05,Matches,Real-Betis,
2,Abde Ezzalzouli,ma MAR,"FW,MF",22-355,15.0,12,1052.0,11.7,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5.6,4.8,0.7,5.5,66.0,46.0,117.0,0.09,0.0,0.09,0.09,0.09,0.48,0.06,0.54,0.41,0.47,Matches,Real-Betis,
3,Romain Perraud,fr FRA,DF,27-075,14.0,11,1017.0,11.3,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.3,0.3,0.5,0.8,28.0,34.0,66.0,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.07,0.02,0.07,Matches,Real-Betis,
4,Pablo Fornals,es ESP,"MF,FW",28-288,13.0,11,952.0,10.6,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.2,1.2,1.9,3.1,16.0,78.0,59.0,0.09,0.0,0.09,0.09,0.09,0.11,0.18,0.29,0.11,0.29,Matches,Real-Betis,
5,Natan,br BRA,DF,23-304,12.0,9,819.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.1,0.1,0.5,0.6,9.0,29.0,2.0,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.07,0.02,0.07,Matches,Real-Betis,
6,Sergi Altimira,es ESP,MF,23-103,12.0,9,818.0,9.1,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.5,0.4,0.9,1.3,10.0,47.0,9.0,0.0,0.11,0.11,0.0,0.11,0.05,0.1,0.15,0.04,0.14,Matches,Real-Betis,
7,Vitor Roque,br BRA,FW,19-282,12.0,9,755.0,8.4,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,4.6,4.6,0.9,5.5,14.0,6.0,34.0,0.36,0.0,0.36,0.36,0.36,0.55,0.11,0.65,0.55,0.65,Matches,Real-Betis,
8,Marc Roca,es ESP,MF,28-010,9.0,9,729.0,8.1,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.5,0.5,0.4,0.9,10.0,49.0,10.0,0.0,0.12,0.12,0.0,0.12,0.06,0.05,0.11,0.06,0.11,Matches,Real-Betis,
9,Marc Bartra,es ESP,DF,33-326,8.0,7,656.0,7.3,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.7,0.7,0.0,0.7,2.0,23.0,1.0,0.27,0.0,0.27,0.27,0.27,0.1,0.0,0.1,0.1,0.1,Matches,Real-Betis,
10,Youssouf Sabaly,sn SEN,DF,31-276,9.0,7,647.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.4,0.5,8.0,28.0,27.0,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.07,0.02,0.07,Matches,Real-Betis,
11,Aitor Ruibal,es ESP,"FW,DF",28-259,12.0,7,558.0,6.2,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.5,0.5,1.0,1.6,9.0,16.0,38.0,0.0,0.16,0.16,0.0,0.16,0.09,0.17,0.26,0.09,0.26,Matches,Real-Betis,
12,Giovani Lo Celso,ar ARG,MF,28-241,9.0,6,617.0,6.9,5.0,1.0,6.0,4.0,1.0,1.0,1.0,0.0,2.2,1.4,2.3,3.8,9.0,64.0,36.0,0.73,0.15,0.88,0.58,0.73,0.32,0.34,0.66,0.21,0.55,Matches,Real-Betis,
13,Johnny Cardoso,us USA,MF,23-077,9.0,6,565.0,6.3,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.7,0.7,0.8,1.5,3.0,22.0,12.0,0.0,0.16,0.16,0.0,0.16,0.11,0.12,0.24,0.11,0.24,Matches,Real-Betis,
14,Héctor Bellerín,es ESP,DF,29-262,7.0,6,524.0,5.8,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,2.0,2.2,3.0,24.0,20.0,0.0,0.17,0.17,0.0,0.17,0.03,0.34,0.38,0.03,0.38,Matches,Real-Betis,
15,Ezequiel Ávila,ar ARG,FW,30-304,13.0,4,451.0,5.0,2.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,1.3,1.3,0.8,2.1,9.0,17.0,36.0,0.4,0.0,0.4,0.4,0.4,0.25,0.16,0.41,0.25,0.41,Matches,Real-Betis,
16,Ricardo Rodríguez,ch SUI,DF,32-103,6.0,4,334.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,3.0,13.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches,Real-Betis,
17,William Carvalho,pt POR,MF,32-243,4.0,4,247.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.2,1.0,20.0,2.0,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.06,0.05,0.06,Matches,Real-Betis,
18,Iker Losada,es ESP,"MF,FW",23-127,10.0,3,336.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.3,0.8,9.0,14.0,16.0,0.0,0.0,0.0,0.0,0.0,0.13,0.08,0.21,0.13,0.21,Matches,Real-Betis,
19,Cédric Bakambu,cd COD,FW,33-239,9.0,2,272.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.2,1.2,0.2,1.4,1.0,4.0,19.0,0.0,0.33,0.33,0.0,0.33,0.4,0.07,0.48,0.4,0.48,Matches,Real-Betis,
20,Assane Diao,es ESP,FW,19-090,7.0,2,215.0,2.4,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.2,1.7,7.0,1.0,22.0,0.0,0.84,0.84,0.0,0.84,0.2,0.51,0.71,0.2,0.71,Matches,Real-Betis,
21,Juanmi,es ESP,"FW,MF",31-200,8.0,2,190.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.6,0.6,0.3,0.9,4.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.27,0.14,0.41,0.27,0.41,Matches,Real-Betis,
22,Nabil Fekir,fr FRA,MF,31-141,2.0,2,180.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.5,1.2,9.0,10.0,18.0,0.0,0.5,0.5,0.0,0.5,0.34,0.26,0.61,0.34,0.61,Matches,Real-Betis,
23,Carlos Guirao,es ESP,MF,21-223,2.0,2,110.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Real-Betis,
24,Rodri,es ESP,FW,24-204,3.0,1,118.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.2,4.0,8.0,11.0,0.0,0.0,0.0,0.0,0.0,0.13,0.06,0.19,0.13,0.19,Matches,Real-Betis,
25,Jesus Rodríguez,es ESP,FW,19-015,1.0,1,82.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06,Matches,Real-Betis,
26,Mateo Flores,es ESP,MF,20-243,2.0,0,31.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Real-Betis,
27,Adrián,es ESP,GK,37-338,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,Matches,Real-Betis,
28,Alcázar,es ESP,DF,22-148,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Real-Betis,
29,Pablo Busto,es ESP,DF,19-082,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Real-Betis,
30,Manu González,es ESP,GK,17-232,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Real-Betis,
31,Nobel Mendy,fr FRA,DF,20-094,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Real-Betis,
32,Fran Vieites,es ESP,GK,25-213,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Real-Betis,
33,Squad Total,,,27.7,15.0,165,1350.0,15.0,14.0,10.0,24.0,13.0,1.0,2.0,31.0,1.0,22.0,20.5,16.2,36.7,239.0,596.0,587.0,0.93,0.67,1.6,0.87,1.53,1.46,1.08,2.54,1.37,2.45,,Real-Betis,
34,Opponent Total,,,27.5,15.0,165,1350.0,15.0,17.0,10.0,27.0,14.0,3.0,3.0,38.0,2.0,19.0,16.6,13.9,30.5,240.0,521.0,514.0,1.13,0.67,1.8,0.93,1.6,1.26,0.93,2.19,1.11,2.03,,Real-Betis,
0,Carmona,es ESP,DF,22-312,,15,1322.0,14.7,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.3,0.3,0.9,1.2,15.0,53.0,16.0,0.0,0.0,0.0,0.0,0.0,0.02,0.06,0.08,0.02,0.08,Matches,Sevilla,15.0
1,Dodi Lukebakio,be BEL,FW,27-073,,14,1181.0,13.1,6.0,0.0,6.0,5.0,1.0,1.0,1.0,0.0,4.7,4.0,1.1,5.0,62.0,26.0,82.0,0.46,0.0,0.46,0.38,0.38,0.36,0.08,0.44,0.3,0.38,Matches,Sevilla,15.0
2,Nemanja Gudelj,rs SRB,"MF,DF",33-020,,12,1080.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.3,0.5,5.0,31.0,4.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.05,0.02,0.05,Matches,Sevilla,13.0
3,Adrià Pedrosa,es ESP,DF,26-207,,12,1007.0,11.2,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.3,0.3,0.6,0.8,13.0,30.0,45.0,0.0,0.09,0.09,0.0,0.09,0.02,0.05,0.07,0.02,0.07,Matches,Sevilla,13.0
4,Isaac Romero,es ESP,FW,24-202,,12,978.0,10.9,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,2.2,2.2,1.3,3.5,12.0,9.0,47.0,0.0,0.18,0.18,0.0,0.18,0.21,0.12,0.32,0.21,0.32,Matches,Sevilla,13.0
5,Ørjan Nyland,no NOR,GK,34-087,,11,963.0,10.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches,Sevilla,11.0
6,Loïc Bade,fr FRA,DF,24-239,,10,921.0,10.2,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.6,0.8,1.0,12.0,1.0,0.0,0.1,0.1,0.0,0.1,0.02,0.06,0.08,0.02,0.08,Matches,Sevilla,11.0
7,Lucien Agoume,fr FRA,MF,22-301,,8,690.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1,0.1,0.6,0.7,12.0,32.0,11.0,0.0,0.0,0.0,0.0,0.0,0.02,0.08,0.09,0.02,0.09,Matches,Sevilla,13.0
8,Peque,es ESP,"MF,FW",22-063,,8,639.0,7.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.3,1.3,1.0,2.3,8.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.18,0.14,0.32,0.18,0.32,Matches,Sevilla,12.0
9,Djibril Sow,ch SUI,MF,27-304,,7,656.0,7.3,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.6,1.6,0.4,2.0,10.0,38.0,21.0,0.14,0.0,0.14,0.14,0.14,0.22,0.05,0.27,0.22,0.27,Matches,Sevilla,12.0
10,Albert Sambi Lokonga,be BEL,MF,25-045,,7,651.0,7.2,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.4,0.7,13.0,48.0,7.0,0.0,0.14,0.14,0.0,0.14,0.04,0.06,0.1,0.04,0.1,Matches,Sevilla,9.0
11,Kike Salas,es ESP,DF,22-227,,6,558.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.0,0.2,2.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches,Sevilla,10.0
12,Chidera Ejuke,ng NGA,"FW,MF",26-339,,6,543.0,6.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.7,0.7,1.3,1.9,50.0,23.0,61.0,0.17,0.0,0.17,0.17,0.17,0.11,0.21,0.32,0.11,0.32,Matches,Sevilla,9.0
13,Tanguy Nianzou,fr FRA,DF,22-182,,6,518.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.2,0.2,0.0,0.2,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches,Sevilla,6.0
14,Juanlu Sánchez,es ESP,"MF,DF",21-113,,5,490.0,5.4,1.0,1.0,2.0,1.0,0.0,0.0,3.0,1.0,0.9,0.9,0.2,1.1,9.0,14.0,20.0,0.18,0.18,0.37,0.18,0.37,0.16,0.04,0.2,0.16,0.2,Matches,Sevilla,11.0
15,Marcão,br BRA,DF,28-184,,5,456.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Sevilla,8.0
16,Álvaro Fernández,es ESP,GK,26-237,,4,387.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,Matches,Sevilla,5.0
17,Kelechi Iheanacho,ng NGA,FW,28-064,,4,354.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,0.3,1.8,6.0,5.0,17.0,0.0,0.0,0.0,0.0,0.0,0.38,0.08,0.46,0.38,0.46,Matches,Sevilla,7.0
18,Saúl Ñíguez,es ESP,MF,30-015,,4,347.0,3.9,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.8,0.8,0.8,1.6,2.0,24.0,12.0,0.0,0.52,0.52,0.0,0.52,0.2,0.21,0.41,0.2,0.41,Matches,Sevilla,5.0
19,Valentín Barco,ar ARG,"DF,FW",20-136,,3,288.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.6,0.9,4.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.09,0.2,0.28,0.09,0.28,Matches,Sevilla,7.0
