Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,CrdY,CrdR,xG,xAG,Team
Jacobo Ramón,es ESP,DF,19,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,Real-Madrid
Squad Total,nan,nan,27,nan,165,1350.0,31.0,22.0,6.0,23.0,1.0,28.8,19.8,Real-Madrid
Opponent Total,nan,nan,27,nan,165,1350.0,12.0,10.0,0.0,33.0,1.0,14.2,11.4,Real-Madrid
Jan Oblak,si SVN,GK,31,14,14,1260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Atletico-Madrid
Antoine Griezmann,fr FRA,"FW,MF",33,15,13,1104.0,5.0,4.0,1.0,1.0,0.0,3.4,3.7,Atletico-Madrid
Koke,es ESP,MF,32,15,12,1062.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,Atletico-Madrid
José María Giménez,uy URU,DF,29,13,10,1018.0,0.0,0.0,0.0,1.0,0.0,0.3,0.0,Atletico-Madrid
Julián Álvarez,ar ARG,"FW,MF",24,15,10,855.0,5.0,2.0,0.0,2.0,0.0,3.4,1.4,Atletico-Madrid
Pablo Barrios,es ESP,MF,21,10,9,798.0,0.0,1.0,0.0,1.0,0.0,0.4,1.0,Atletico-Madrid
Marcos Llorente,es ESP,"DF,MF",29,10,9,764.0,2.0,2.0,0.0,0.0,1.0,0.2,2.4,Atletico-Madrid
Nahuel Molina,ar ARG,DF,26,10,9,705.0,0.0,1.0,0.0,0.0,0.0,0.4,0.6,Atletico-Madrid
Samuel Lino,br BRA,"MF,DF",24,12,9,651.0,0.0,1.0,0.0,1.0,0.0,3.0,1.4,Atletico-Madrid
Conor Gallagher,eng ENG,MF,24,11,8,689.0,2.0,0.0,0.0,1.0,0.0,1.1,0.1,Atletico-Madrid
Alexander Sørloth,no NOR,FW,29,15,7,690.0,6.0,2.0,0.0,0.0,0.0,5.5,1.3,Atletico-Madrid
Reinildo Mandava,mz MOZ,DF,30,13,7,647.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,Atletico-Madrid
Robin Le Normand,es ESP,DF,28,7,7,630.0,0.0,0.0,0.0,2.0,0.0,0.3,0.1,Atletico-Madrid
Axel Witsel,be BEL,DF,35,9,7,620.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,Atletico-Madrid
Rodrigo De Paul,ar ARG,MF,30,14,6,651.0,1.0,3.0,0.0,3.0,0.0,0.7,2.3,Atletico-Madrid
Clément Lenglet,fr FRA,DF,29,6,6,485.0,1.0,0.0,0.0,4.0,0.0,1.3,0.1,Atletico-Madrid
César Azpilicueta,es ESP,DF,35,6,6,480.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,Atletico-Madrid
Javi Galán,es ESP,DF,30,7,5,406.0,0.0,2.0,0.0,3.0,0.0,0.0,1.3,Atletico-Madrid
Giuliano Simeone,ar ARG,"MF,DF",21,10,4,426.0,1.0,2.0,0.0,2.0,0.0,0.3,0.8,Atletico-Madrid
Rodrigo Riquelme,es ESP,"DF,MF",24,10,4,404.0,0.0,0.0,0.0,0.0,0.0,0.7,0.5,Atletico-Madrid
Ángel Correa,ar ARG,"FW,MF",29,14,2,407.0,2.0,1.0,0.0,2.0,0.0,3.2,1.1,Atletico-Madrid
Juan Musso,ar ARG,GK,30,1,1,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Atletico-Madrid
Thomas Lemar,fr FRA,MF,29,1,0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Atletico-Madrid
Aitor Gismera,es ESP,MF,20,0,0,nan,nan,nan,nan,nan,nan,nan,nan,Atletico-Madrid
Antonio Gomis,es ESP,GK,21,0,0,nan,nan,nan,nan,nan,nan,nan,nan,Atletico-Madrid
Alejandro Iturbe,es ESP,GK,21,0,0,nan,nan,nan,nan,nan,nan,nan,nan,Atletico-Madrid
Ilias Kostis,gr GRE,DF,21,0,0,nan,nan,nan,nan,nan,nan,nan,nan,Atletico-Madrid
Horaţiu Moldovan,ro ROU,GK,26,0,0,nan,nan,nan,nan,nan,nan,nan,nan,Atletico-Madrid
Javier Serrano,es ESP,MF,21,0,0,nan,nan,nan,nan,nan,nan,nan,nan,Atletico-Madrid
Gerónimo Spina,ar ARG,DF,19,0,0,nan,nan,nan,nan,nan,nan,nan,nan,Atletico-Madrid
Arthur Vermeeren,be BEL,MF,19,0,0,nan,nan,nan,nan,nan,nan,nan,nan,Atletico-Madrid
Squad Total,nan,nan,29,15,165,1350.0,26.0,22.0,1.0,29.0,1.0,25.2,19.7,Atletico-Madrid
Opponent Total,nan,nan,27,15,165,1350.0,6.0,5.0,1.0,24.0,0.0,11.8,8.8,Atletico-Madrid
Iñaki Williams,gh GHA,FW,30,15,14,1203.0,3.0,4.0,0.0,0.0,0.0,3.5,4.2,Athletic-Club
Julen Agirrezabala,es ESP,GK,23,13,13,1116.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Athletic-Club
Nico Williams,es ESP,FW,22,14,12,1043.0,1.0,3.0,0.0,1.0,0.0,2.0,2.3,Athletic-Club
Daniel Vivian,es ESP,DF,25,13,11,1045.0,2.0,0.0,0.0,1.0,0.0,0.8,0.0,Athletic-Club
Oihan Sancet,es ESP,MF,24,13,11,842.0,7.0,0.0,1.0,1.0,0.0,4.7,0.9,Athletic-Club
Yuri Berchiche,es ESP,DF,34,13,10,912.0,0.0,0.0,0.0,2.0,0.0,0.3,0.5,Athletic-Club
Álex Berenguer,es ESP,"FW,MF",29,15,10,872.0,3.0,4.0,0.0,2.0,0.0,3.8,2.6,Athletic-Club
Óscar de Marcos,es ESP,DF,35,12,9,820.0,0.0,4.0,0.0,0.0,0.0,0.0,1.3,Athletic-Club
Yeray Álvarez,es ESP,DF,29,9,9,810.0,0.0,0.0,0.0,2.0,0.0,0.1,0.0,Athletic-Club
Gorka Guruzeta,es ESP,FW,28,15,9,791.0,4.0,2.0,0.0,1.0,0.0,2.1,0.5,Athletic-Club
Mikel Jauregizar,es ESP,MF,21,13,9,788.0,1.0,0.0,0.0,3.0,1.0,0.3,0.4,Athletic-Club
Aitor Paredes,es ESP,DF,24,9,9,754.0,1.0,0.0,0.0,4.0,1.0,1.1,0.0,Athletic-Club
Beñat Prados,es ESP,MF,23,13,9,707.0,1.0,0.0,0.0,5.0,0.0,0.6,0.2,Athletic-Club
Iñigo Ruiz de Galarreta,es ESP,MF,31,12,8,657.0,0.0,1.0,0.0,3.0,0.0,0.1,1.2,Athletic-Club
Adama Boiro,es ESP,DF,22,6,5,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Athletic-Club
Álvaro djaló,es ESP,FW,25,11,4,432.0,1.0,0.0,0.0,0.0,0.0,0.8,0.7,Athletic-Club
Iñigo Lekue,es ESP,DF,31,7,4,373.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,Athletic-Club
Mikel Vesga,es ESP,MF,31,9,4,373.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,Athletic-Club
Andoni Gorosabel,es ESP,DF,28,6,4,355.0,0.0,1.0,0.0,1.0,0.0,0.3,0.6,Athletic-Club
Unai Gómez,es ESP,MF,21,15,3,429.0,0.0,1.0,0.0,1.0,0.0,0.5,0.2,Athletic-Club
Alex Padilla,es ESP,GK,21,5,3,321.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Athletic-Club
Unai Núñez,es ESP,DF,27,3,3,270.0,0.0,0.0,0.0,1.0,0.0,0.2,0.0,Athletic-Club
Ander Herrera,es ESP,MF,35,8,2,273.0,0.0,0.0,0.0,2.0,0.0,1.7,0.1,Athletic-Club
Nicolás Serrano,es ESP,FW,21,2,1,97.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,Athletic-Club
Javi Martón,es ESP,"FW,MF",25,3,0,53.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Athletic-Club
Peio Canales,es ESP,MF,19,1,0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Athletic-Club
Adu Ares,es ESP,FW,23,1,0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Athletic-Club
Unai Eguíluz,es ESP,DF,22,0,0,nan,nan,nan,nan,nan,nan,nan,nan,Athletic-Club
Oier Gastesi,es ESP,GK,21,0,0,nan,nan,nan,nan,nan,nan,nan,nan,Athletic-Club
Unai Simón,es ESP,GK,27,0,0,nan,nan,nan,nan,nan,nan,nan,nan,Athletic-Club
Squad Total,nan,nan,27,16,176,1440.0,24.0,20.0,1.0,34.0,3.0,22.7,15.9,Athletic-Club
Opponent Total,nan,nan,27,16,176,1440.0,14.0,6.0,2.0,44.0,1.0,15.8,9.4,Athletic-Club
Diego Conde,es ESP,GK,26,nan,14,1260.0,0.0,1.0,0.0,1.0,0.0,0.0,0.2,Villarreal
Sergi Cardona,es ESP,DF,25,nan,14,1232.0,1.0,1.0,0.0,5.0,0.0,1.9,1.8,Villarreal
Kiko Femenía,es ESP,DF,33,nan,13,1103.0,0.0,1.0,0.0,4.0,0.0,0.0,0.5,Villarreal
Daniel Parejo,es ESP,MF,35,nan,12,1014.0,2.0,0.0,1.0,5.0,0.0,2.0,0.3,Villarreal
Alex Baena,es ESP,"MF,FW",23,nan,12,1011.0,3.0,5.0,0.0,4.0,0.0,3.2,4.1,Villarreal
Santi Comesaña,es ESP,MF,28,nan,12,1011.0,2.0,2.0,0.0,3.0,0.0,0.9,1.0,Villarreal
Raúl Albiol,es ESP,DF,39,nan,11,918.0,0.0,0.0,0.0,5.0,0.0,0.1,0.0,Villarreal
Logan Costa,cv CPV,DF,23,nan,10,916.0,1.0,0.0,0.0,1.0,0.0,0.3,0.0,Villarreal
Thierno Barry,fr FRA,FW,22,nan,9,874.0,4.0,2.0,0.0,1.0,0.0,5.3,1.0,Villarreal
Pape Gueye,sn SEN,MF,25,nan,8,733.0,0.0,0.0,0.0,3.0,1.0,1.2,0.5,Villarreal
Ilias Akhomach,ma MAR,"MF,FW",20,nan,7,584.0,1.0,0.0,0.0,1.0,0.0,0.6,1.0,Villarreal
Nicolas Pépé,ci CIV,"FW,MF",29,nan,6,565.0,1.0,2.0,0.0,1.0,0.0,2.0,0.7,Villarreal
Yeremi Pino,es ESP,MF,22,nan,6,548.0,0.0,3.0,0.0,2.0,0.0,1.1,2.8,Villarreal
Eric Bailly,ci CIV,DF,30,nan,6,534.0,0.0,0.0,0.0,2.0,0.0,0.3,0.0,Villarreal
Ayoze Pérez,es ESP,FW,31,nan,5,517.0,7.0,0.0,0.0,3.0,0.0,3.0,0.9,Villarreal
Arnaut Danjuma,nl NED,FW,27,nan,3,200.0,2.0,0.0,0.0,1.0,0.0,0.8,0.0,Villarreal
Gerard Moreno,es ESP,FW,32,nan,2,179.0,1.0,1.0,1.0,0.0,0.0,1.4,1.6,Villarreal
Pau Navarro,es ESP,DF,19,nan,1,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Villarreal
Ramón Terrats,es ESP,"MF,FW",24,nan,1,126.0,0.0,0.0,0.0,1.0,0.0,0.1,0.3,Villarreal
Denis Suárez,es ESP,"MF,FW",30,nan,1,115.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1,Villarreal
Willy Kambwala,fr FRA,DF,20,nan,1,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Villarreal
Juan Bernat,es ESP,"DF,MF",31,nan,0,49.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3,Villarreal
Pau Cabanes,es ESP,"MF,FW",19,nan,0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Villarreal
Iker Álvarez,ad AND,GK,23,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,Villarreal
Alassane Diatta,sn SEN,MF,19,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,Villarreal
Antonio Espigare,es ESP,DF,20,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,Villarreal
Karl Etta,cm CMR,FW,21,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,Villarreal
Rubén Gómez,es ESP,GK,22,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,Villarreal
Luiz Lúcio Reis Júnior,br BRA,GK,23,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,Villarreal
Daniel Requena,es ESP,MF,20,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,Villarreal
Arnau Solà,es ESP,DF,21,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,Villarreal
Squad Total,nan,nan,27,nan,154,1260.0,25.0,19.0,2.0,43.0,1.0,24.0,16.9,Villarreal
Opponent Total,nan,nan,27,nan,154,1260.0,22.0,14.0,3.0,47.0,1.0,16.8,9.9,Villarreal
Antonio Raillo,es ESP,DF,33,nan,16,1420.0,1.0,0.0,0.0,2.0,0.0,1.1,0.8,Mallorca
Samu Costa,pt POR,MF,24,nan,15,1279.0,0.0,2.0,0.0,6.0,1.0,1.0,1.0,Mallorca
Johan Mojica,co COL,DF,32,nan,13,1178.0,1.0,1.0,0.0,3.0,0.0,0.5,1.6,Mallorca
Sergi Darder,es ESP,"MF,FW",30,nan,13,1044.0,0.0,1.0,0.0,0.0,0.0,0.6,1.4,Mallorca
Martin Valjent,sk SVK,DF,28,nan,12,1060.0,0.0,0.0,0.0,2.0,0.0,0.2,0.0,Mallorca
Dominik Greif,sk SVK,GK,27,nan,11,990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mallorca
Manu Morlanes,es ESP,MF,25,nan,11,959.0,0.0,0.0,0.0,4.0,0.0,0.3,0.2,Mallorca
Pablo Maffeo,es ESP,DF,27,nan,11,916.0,0.0,1.0,0.0,2.0,0.0,0.2,1.9,Mallorca
Vedat Muriqi,xk KVX,FW,30,nan,10,929.0,3.0,1.0,0.0,1.0,1.0,4.1,0.6,Mallorca
Dani Rodríguez,es ESP,"FW,MF",36,nan,10,847.0,3.0,4.0,0.0,1.0,0.0,1.6,1.6,Mallorca
Roberto Navarro,es ESP,"MF,FW",22,nan,10,792.0,1.0,0.0,0.0,1.0,0.0,1.2,0.6,Mallorca
Cyle Larin,ca CAN,FW,29,nan,10,734.0,2.0,2.0,0.0,2.0,0.0,1.8,1.1,Mallorca
Omar Mascarell,gq EQG,MF,31,nan,6,639.0,0.0,0.0,0.0,2.0,0.0,0.2,0.0,Mallorca
Antonio Sánchez,es ESP,"DF,FW",27,nan,5,631.0,0.0,0.0,0.0,0.0,0.0,0.5,0.6,Mallorca
Leo Román,es ESP,GK,24,nan,5,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mallorca
Copete,es ESP,DF,25,nan,4,419.0,0.0,0.0,0.0,2.0,0.0,0.4,0.0,Mallorca
Takuma Asano,jp JPN,FW,30,nan,4,319.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,Mallorca
Toni Lato,es ESP,DF,27,nan,3,263.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,Mallorca
Mateu Morey,es ESP,DF,24,nan,2,175.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Mallorca
Marc Domenech,es ESP,FW,18,nan,2,115.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,Mallorca
Valery Fernández,es ESP,"MF,FW",25,nan,1,219.0,2.0,0.0,0.0,1.0,0.0,0.8,0.0,Mallorca
Abdón Prats,es ESP,"FW,MF",31,nan,1,206.0,2.0,0.0,1.0,3.0,0.0,1.8,0.0,Mallorca
Chiquinho,pt POR,"MF,FW",24,nan,1,143.0,0.0,0.0,0.0,2.0,0.0,0.3,0.0,Mallorca
Daniel Luna,co COL,MF,21,nan,0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mallorca
Iván Cuéllar,es ESP,GK,40,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,Mallorca
Pere Joan,es ESP,GK,22,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,Mallorca
Javier Llabrés,es ESP,FW,22,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,Mallorca
Jan Salas,es ESP,MF,19,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,Mallorca
Siebe Van Der Heyden,be BEL,DF,26,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,Mallorca
Sebastian Wade,es ESP,DF,21,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,Mallorca
Squad Total,nan,nan,28,nan,176,1440.0,15.0,12.0,1.0,35.0,3.0,17.0,11.9,Mallorca
Opponent Total,nan,nan,27,nan,176,1440.0,18.0,10.0,3.0,31.0,2.0,18.1,12.2,Mallorca
Sergio Herrera,es ESP,GK,31,15,15,1350.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,Osasuna
Aimar Oroz,es ESP,MF,23,15,15,1208.0,1.0,0.0,0.0,2.0,0.0,1.6,1.5,Osasuna
Catena,es ESP,DF,30,14,14,1260.0,0.0,0.0,0.0,4.0,0.0,0.5,0.0,Osasuna
Jesús Areso,es ESP,DF,25,14,14,1242.0,0.0,1.0,0.0,2.0,0.0,0.1,1.1,Osasuna
Lucas Torró,es ESP,MF,30,14,14,1219.0,2.0,0.0,0.0,5.0,0.0,0.7,0.3,Osasuna
Ante Budimir,hr CRO,FW,33,15,13,1103.0,9.0,1.0,4.0,1.0,0.0,6.5,0.8,Osasuna
Bryan Zaragoza,es ESP,"FW,MF",23,15,13,1051.0,1.0,5.0,0.0,3.0,0.0,1.8,1.9,Osasuna
Enzo Boyomo,cm CMR,DF,23,12,12,1080.0,1.0,0.0,0.0,3.0,0.0,0.4,0.0,Osasuna
Jon Moncayola,es ESP,MF,26,14,11,925.0,0.0,0.0,0.0,4.0,0.0,0.8,1.7,Osasuna
Rubén García,es ESP,"FW,MF",31,14,10,761.0,1.0,2.0,0.0,1.0,0.0,0.9,0.6,Osasuna
Abel,es ESP,DF,24,14,9,846.0,2.0,0.0,0.0,2.0,0.0,0.3,0.3,Osasuna
Juan Cruz Armada,es ESP,DF,32,8,6,550.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0,Osasuna
Rubén Peña,es ESP,"FW,MF",33,13,4,422.0,0.0,0.0,0.0,1.0,0.0,0.5,0.3,Osasuna
Jorge Herrando,es ESP,DF,23,6,4,375.0,0.0,0.0,0.0,2.0,0.0,0.1,0.0,Osasuna
Pablo Ibáñez,es ESP,MF,26,12,3,426.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,Osasuna
Moi Gómez,es ESP,"MF,FW",30,13,3,380.0,0.0,0.0,0.0,1.0,0.0,0.1,0.2,Osasuna
Raúl,es ESP,FW,24,14,2,307.0,1.0,0.0,0.0,0.0,0.0,0.4,0.6,Osasuna
Iker Muñoz,es ESP,MF,22,5,2,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Osasuna
Nacho Vidal,es ESP,DF,29,4,1,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Osasuna
Iker Benito,es ESP,"FW,MF",22,2,0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Osasuna
José Arnaiz,es ESP,FW,29,4,0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,Osasuna
Javi Martínez,es ESP,MF,24,1,0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Osasuna
Kike Barja,es ESP,"FW,MF",27,0,0,nan,nan,nan,nan,nan,nan,nan,nan,Osasuna
Aitor Fernández,es ESP,GK,33,0,0,nan,nan,nan,nan,nan,nan,nan,nan,Osasuna
Unai García,es ESP,DF,32,0,0,nan,nan,nan,nan,nan,nan,nan,nan,Osasuna
